scenario,seed,planner,success,length,max_kappa,elapsed,collision_free,cv,cv_opt,feasible,n_obs,kappa_max,radius,nsampling,th_start,th_goal,start_x,start_y,goal_x,goal_y,xmin,xmax,ymin,ymax
prog00_seed0,0,rrt_star,True,3.2376969044910924,,1.8489607480000245,True,0.0,,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,rrt_star_smooth,True,3.2376969044910924,,0.8315115949999949,True,0.0,,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,rrt_star_dubins,True,7.889329936199546,1.36986301369863,81.37127720300003,True,20.197526569035972,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,modified_dubins_rrt_star_ccpoa,True,6.773033718600697,1.36986301369863,334.79184093099997,True,7.070706130945853,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,rrt_star_asv,True,3.265863083735149,1.3698630136988197,98.21988146399997,True,1.3055363205813184,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,de2d_nurbs,True,3.2858539440020342,1.5586241781280374,19.542401675000008,True,0.0,0.657160788800407,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed0,0,pso2d_nurbs,True,3.2807849782026697,1.5808037203179162,26.634074098999974,True,0.0,0.16403409794199364,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,rrt_star,True,3.4654409579719676,,0.9479497209999863,True,15.697937847223216,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,rrt_star_smooth,True,3.4654409579719676,,0.9444002349999892,True,15.697937847223216,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,rrt_star_dubins,True,7.953387285304622,1.36986301369863,71.81375170199999,True,40.03807645001796,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,modified_dubins_rrt_star_ccpoa,True,7.202656849178204,1.36986301369863,216.695261813,True,51.245146906629856,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,rrt_star_asv,True,3.546599750081259,1.3698630136988983,51.88953406999997,True,0.0824949204002403,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,de2d_nurbs,True,3.4231837850664557,1.562371260929263,0.909772428999986,True,0.0,0.6846267570132912,True,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed0,0,pso2d_nurbs,True,3.4195551271001143,1.5879633290977768,4.8303634160000115,True,5.228101322422683e-06,0.17114653416182665,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed0,0,rrt_star,True,3.480880475026294,,1.097739568999998,True,0.09563720808322179,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
